device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:42:9B,2017-03-15 07:00:25.100000000,94.33,94.48,94.31,94.22,94.33,48.08
88:4A:EA:69:E1:72,2017-03-15 07:00:25.120000000,1079.85,8.11,4.64,2.12,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:25.310000128,97.65,97.59,97.66,97.6,97.73,35.38
88:4A:EA:69:42:9B,2017-03-15 07:00:25.620000000,94.33,94.2,94.48,94.22,94.41,48.34
88:4A:EA:69:43:8A,2017-03-15 07:00:25.830000128,97.62,97.59,97.64,97.6,97.64,35.7
88:4A:EA:69:42:9B,2017-03-15 07:00:26.150000128,94.35,94.3,94.17,94.44,94.49,47.83
88:4A:EA:69:E1:72,2017-03-15 07:00:26.190000128,990.32,8.21,4.65,2.09,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:26.350000128,97.64,97.73,97.61,97.57,97.66,34.92
88:4A:EA:69:42:9B,2017-03-15 07:00:26.670000128,94.23,94.19,94.28,93.92,94.54,51.89
88:4A:EA:69:43:8A,2017-03-15 07:00:26.880000000,97.66,97.62,97.63,97.77,97.62,35.39
88:4A:EA:69:42:9B,2017-03-15 07:00:27.190000128,94.28,94.17,94.39,94.37,94.19,49.15
88:4A:EA:69:E1:72,2017-03-15 07:00:27.230000128,987.49,7.88,4.51,2.14,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:27.400000000,97.66,97.7,97.66,97.61,97.67,35.67
88:4A:EA:69:42:9B,2017-03-15 07:00:27.710000128,94.25,94.23,94.28,94.23,94.27,50.63
88:4A:EA:69:43:8A,2017-03-15 07:00:27.920000000,97.55,97.47,97.65,97.5,97.57,36.18
88:4A:EA:69:42:9B,2017-03-15 07:00:28.240000000,94.26,94.17,94.26,94.25,94.35,49.12
88:4A:EA:69:E1:72,2017-03-15 07:00:28.280000000,1088.36,8.15,4.54,2.13,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:28.440000000,97.62,97.64,97.57,97.66,97.61,35.41
88:4A:EA:69:42:9B,2017-03-15 07:00:28.760000000,94.28,94.47,94.17,94.29,94.17,49.07
88:4A:EA:69:43:8A,2017-03-15 07:00:28.969999872,97.63,97.55,97.7,97.52,97.75,34.78
88:4A:EA:69:42:9B,2017-03-15 07:00:29.280000000,94.31,94.33,94.29,94.27,94.35,47.04
88:4A:EA:69:E1:72,2017-03-15 07:00:29.320000000,991.2,7.95,4.58,2.11,51.82,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:29.489999872,97.65,97.67,97.76,97.65,97.51,34.88
88:4A:EA:69:42:9B,2017-03-15 07:00:29.809999872,94.26,94.22,94.22,94.28,94.32,46.64
88:4A:EA:69:43:8A,2017-03-15 07:00:30.009999872,97.62,97.57,97.63,97.58,97.7,34.51
88:4A:EA:69:42:9B,2017-03-15 07:00:30.329999872,94.21,94.08,94.16,94.27,94.33,45.7
88:4A:EA:69:E1:72,2017-03-15 07:00:30.369999872,1042.55,8.09,4.63,2.11,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:30.529999872,97.65,97.7,97.6,97.66,97.66,33.77
88:4A:EA:69:42:9B,2017-03-15 07:00:30.849999872,94.28,94.51,94.25,94.31,94.03,45.78
88:4A:EA:69:43:8A,2017-03-15 07:00:31.060000000,97.64,97.61,97.52,97.71,97.73,34.15
88:4A:EA:69:42:9B,2017-03-15 07:00:31.369999872,94.22,94.24,94.18,94.11,94.36,47.8
88:4A:EA:69:E1:72,2017-03-15 07:00:31.390000128,938.31,7.76,4.48,2.09,51.82,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:31.580000000,97.64,97.7,97.64,97.57,97.66,33.25
88:4A:EA:69:42:9B,2017-03-15 07:00:31.900000000,94.22,94.21,94.25,94.3,94.12,49.38
88:4A:EA:69:43:8A,2017-03-15 07:00:32.100000000,97.63,97.62,97.64,97.56,97.69,33.6
88:4A:EA:69:42:9B,2017-03-15 07:00:32.420000000,94.25,94.43,94.13,94.17,94.29,48.18
88:4A:EA:69:E1:72,2017-03-15 07:00:32.440000000,1028.67,7.96,4.54,2.09,51.82,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:32.630000128,97.62,97.67,97.58,97.64,97.59,33.48
88:4A:EA:69:42:9B,2017-03-15 07:00:32.940000000,94.25,94.23,94.38,94.24,94.17,47.8
88:4A:EA:69:42:9B,2017-03-15 07:00:33.460000000,94.22,94.39,94.04,94.37,94.07,45.95
88:4A:EA:69:E1:72,2017-03-15 07:00:33.489999872,973.41,7.73,4.45,2.08,51.82,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:33.520000000,97.56,97.54,97.55,97.52,97.62,33.68
88:4A:EA:69:43:8A,2017-03-15 07:00:33.769999872,97.66,97.73,97.63,97.66,97.61,33.45
88:4A:EA:69:42:9B,2017-03-15 07:00:33.990000128,94.26,94.3,94.29,94.1,94.36,45.6
88:4A:EA:69:43:8A,2017-03-15 07:00:34.289999872,97.62,97.56,97.62,97.68,97.63,33.55
88:4A:EA:69:42:9B,2017-03-15 07:00:34.510000128,94.17,94.17,94.09,94.3,94.13,46.34
88:4A:EA:69:E1:72,2017-03-15 07:00:34.569999872,962.41,7.81,4.4,2.12,51.82,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:34.820000000,97.59,97.6,97.59,97.64,97.53,32.93
88:4A:EA:69:42:9B,2017-03-15 07:00:35.030000128,94.24,94.19,94.24,94.08,94.46,47.25
88:4A:EA:69:43:8A,2017-03-15 07:00:35.340000000,97.63,97.67,97.55,97.67,97.61,34.69
88:4A:EA:69:42:9B,2017-03-15 07:00:35.550000128,94.17,94.05,94.29,94.24,94.12,49.83
88:4A:EA:69:E1:72,2017-03-15 07:00:35.620000000,931.64,7.77,4.52,2.05,51.82,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:35.860000000,97.64,97.61,97.63,97.67,97.65,36.04
88:4A:EA:69:42:9B,2017-03-15 07:00:36.080000000,94.15,94.31,94.06,94.25,94.0,48.61
88:4A:EA:69:43:8A,2017-03-15 07:00:36.380000000,97.61,97.62,97.6,97.64,97.6,39.11
88:4A:EA:69:42:9B,2017-03-15 07:00:36.600000000,94.27,94.13,94.43,94.2,94.32,45.04
88:4A:EA:69:E1:72,2017-03-15 07:00:36.640000000,987.8,7.93,4.5,2.08,51.82,211.0
